condition,time,mean,sd,n,sem,ci
neutral,30201,0.059677289356579684,0.29047182619705236,5,0.12990294978502265,0.2546097815786444
neutral,30401,0.062117495576172806,0.29818526937859385,5,0.13335250644392446,0.26137091263009193
neutral,30601,0.05584158980261269,0.32047981958291644,5,0.1433229324008539,0.28091294750567364
neutral,30801,0.08722791982943626,0.30641529838390164,5,0.1370330873064571,0.26858485112065594
neutral,31001,0.06752150314826817,0.31949200717824267,5,0.14288116926368027,0.28004709175681336
neutral,31201,0.07860707461932945,0.30814771703807886,5,0.13780784848170288,0.27010338302413767
neutral,31401,0.06284587706646219,0.3119192164417702,5,0.13949451429045362,0.27340924800928906
neutral,31601,0.03809057120694633,0.3309068842442002,5,0.14798605747853713,0.2900526726579328
neutral,31801,0.04232256416064211,0.32656535496394223,5,0.14604446655914463,0.28624715445592347
neutral,32001,0.04012669242986086,0.30642028879468614,5,0.13703531908600705,0.26858922540857383
neutral,32201,0.04831521296758952,0.3048888133374677,5,0.13635042244036447,0.26724682798311433
neutral,32401,0.04521881105026613,0.2892692410589353,5,0.1293651373615105,0.2535556692285606
neutral,32601,0.04113916231954189,0.2580679070717744,5,0.11541147660471725,0.2262064941452458
neutral,32801,0.0573182326501059,0.30744022913774416,5,0.1374914502740215,0.2694832425370821
neutral,33001,0.03688566464655503,0.31130208116320873,5,0.1392185230036183,0.27286830508709187
neutral,33201,0.0217538106619872,0.3027433892379548,5,0.13539095961494904,0.2653662808453001
neutral,33401,0.015830827018579494,0.31785840051924,5,0.14215059815607503,0.27861517238590705
neutral,33601,0.01980285900634585,0.32895098437938763,5,0.14711135246755644,0.2883382508364106
neutral,33801,0.029169008710811888,0.3317132039015338,5,0.1483466545916156,0.2907594429995666
neutral,34001,0.018394567163195284,0.34007101797469197,5,0.15208438267379282,0.2980853900406339
neutral,34201,0.007294470893314407,0.3395877737644757,5,0.15186826929303746,0.2976618078143534
neutral,34401,-0.0021969362723873033,0.3453106914730708,5,0.15442763589824865,0.3026781663605673
neutral,34601,0.022029062371106203,0.35323811341451095,5,0.15797288676772536,0.3096268580647417
neutral,34801,0.033475626300233444,0.3693415219840708,5,0.16517455001392303,0.32374211802728914
neutral,35001,0.029235277191844208,0.38477440767016935,5,0.17207634631054303,0.33726963876866434
neutral,35201,0.04125884125940338,0.3586763862506625,5,0.16040495631609045,0.3143937143795373
neutral,35401,0.06473441844553018,0.3622027934254294,5,0.1619820135479148,0.317484746553913
neutral,35601,0.09857203257219452,0.37994014405345494,5,0.16991439789691754,0.33303221987795834
neutral,35801,0.09218453476153848,0.38893263786057297,5,0.1739359633849099,0.34091448823442344
neutral,36001,0.08126386086063245,0.3721355237956696,5,0.16642406560992154,0.3261911685954462
neutral,36201,0.06185907947612326,0.37119771702751625,5,0.1660046656732515,0.32536914471957296
neutral,36401,0.07558219753322404,0.40239203920975325,5,0.1799551906555538,0.35271217368488544
neutral,36601,0.07372963384809608,0.39254400143552187,5,0.1755510142739204,0.34407998797688394
neutral,36801,0.08861105796593506,0.36359096349898784,5,0.16260282207767632,0.3187015312722456
neutral,37001,0.07935472523352007,0.3347343668687952,5,0.1496977597447959,0.29340760909979996
neutral,37201,0.08570317578017209,0.3236424527891887,5,0.14473730496827847,0.2836851177378258
neutral,37401,0.08051441201239458,0.335557666333206,5,0.15006595045844823,0.2941292628985585
neutral,37601,0.08356702729109906,0.3212742842428762,5,0.14367822779793213,0.281609326483947
neutral,37801,0.08439518092651892,0.31754485878231203,5,0.14201037802856414,0.2783403409359857
neutral,38001,0.07647963236121448,0.32121397814340075,5,0.14365125809035514,0.2815564658570961
neutral,38201,0.06313202344965929,0.33993926448902706,5,0.15202546072374895,0.2979699030185479
neutral,38401,0.060294159251416166,0.33285657133979923,5,0.14885798405465986,0.29176164874713334
neutral,38601,0.0567829135458452,0.3383904423901324,5,0.15133280642411248,0.2966123005912605
neutral,38801,0.08481291513843577,0.3474157962780692,5,0.1553690673869962,0.30452337207851254
neutral,39001,0.09123687290254179,0.33980955838706695,5,0.15196745439153309,0.29785621060740486
neutral,39201,0.08200138003035534,0.33066570498962117,5,0.14787819883693687,0.28984126972039626
neutral,39401,0.07356789646701416,0.32420836649638085,5,0.14499038927201457,0.28418116297314855
neutral,39601,0.0613612963813471,0.2885130882349218,5,0.12902697553833598,0.2528928720551385
neutral,39801,0.08690960700134334,0.3041835565790965,5,0.13603502202970263,0.26662864317821716
