pid,trial,condition,samples,n,sum_na,pupil
1,3,neutral,4201,200,0,0.22203652879973082
1,3,neutral,4401,200,0,0.4587020937437017
1,3,neutral,4601,200,0,0.55353622486979015
1,3,neutral,4801,200,0,0.5084578268487594
1,3,neutral,5001,200,0,0.4994970168844827
1,3,neutral,5201,200,0,0.5341193463391417
1,3,neutral,5401,200,0,0.5602542773980226
1,3,neutral,5601,200,0,0.6343039850246659
1,3,neutral,5801,200,0,0.6449554213575731
1,3,neutral,6001,200,0,0.6442102594966747
1,3,neutral,6201,200,0,0.6827413285915481
1,3,neutral,6401,200,0,0.6875327085415285
1,3,neutral,6601,200,0,0.5634249027497953
1,3,neutral,6801,200,0,0.4375860984218166
1,3,neutral,7001,200,0,0.37811476178565256
1,3,neutral,7201,200,0,0.3336412255038549
1,3,neutral,7401,200,0,0.24738501523488593
1,3,neutral,7601,200,0,0.1435380198332986
1,3,neutral,7801,200,0,0.10525647448489703
1,3,neutral,8001,200,0,0.1354168646062832
1,3,neutral,8201,200,0,0.10794372246276823
1,3,neutral,8401,200,0,0.08067932105321618
1,3,neutral,8601,200,0,0.10938565993660301
1,3,neutral,8801,200,0,0.09721768105125862
1,3,neutral,9001,200,0,0.1950741787042819
1,3,neutral,9201,200,0,0.28060048320711545
1,3,neutral,9401,200,0,0.14081886639059868
1,3,neutral,9601,200,0,0.06840342106852453
1,3,neutral,9801,200,0,0.0826415263150535
1,3,neutral,10001,200,0,0.07699049510016596
1,3,neutral,10201,200,0,0.03256583061154856
1,3,neutral,10401,200,0,-0.04539910596972078
1,3,neutral,10601,200,0,-0.13725920957400783
1,3,neutral,10801,200,0,-0.18699981967340923
1,3,neutral,11001,200,0,-0.1632638752974611
1,3,neutral,11201,200,0,-0.03716599193951635
1,3,neutral,11401,200,0,-0.010854170254885305
1,3,neutral,11601,200,0,-0.08269493283405195
1,3,neutral,11801,200,0,-0.1272621637156475
1,3,neutral,12001,200,0,-0.11108065241824497
1,3,neutral,12201,200,0,-0.11866529797222651
1,3,neutral,12401,200,0,-0.16215842006040032
1,3,neutral,12601,200,0,-0.20388158206489082
1,3,neutral,12801,200,0,-0.3240193736836849
1,3,neutral,13001,200,0,-0.44912597419682004
1,3,neutral,13201,200,0,-0.40272027323462223
1,3,neutral,13401,200,0,-0.32653375279561025
1,3,neutral,13601,200,0,-0.3030748950589511
1,3,neutral,13801,200,0,-0.1987422224669169
1,3,neutral,14001,200,0,-0.14986724835120688
1,3,neutral,14201,200,0,-0.2380356298287156
1,3,neutral,14401,200,56,-0.31860382436701856
1,3,neutral,14801,200,27,-0.16388933453986734
1,3,neutral,15001,200,0,-0.2327626205345916
1,3,neutral,15201,200,0,-0.4349093573087772
1,3,neutral,15401,200,0,-0.46881805796410486
1,3,neutral,15601,200,0,-0.4559268132511091
1,3,neutral,15801,200,0,-0.46831132095215483
1,3,neutral,16001,200,0,-0.4479693097090419
1,3,neutral,16201,200,0,-0.38825612576222573
1,3,neutral,16401,200,0,-0.24985328000510876
1,3,neutral,16601,200,0,-0.08128252357696886
1,3,neutral,16801,200,0,-0.003702477994417608
1,3,neutral,17001,200,0,0.09891916985029829
1,3,neutral,17201,200,0,0.2199289260340078
1,3,neutral,17401,200,0,0.2403364609489883
1,3,neutral,17601,200,0,0.1778240811156035
1,3,neutral,17801,200,0,0.13988494203274573
1,3,neutral,18001,200,0,0.21010525121389326
1,3,neutral,18201,200,0,0.3000870468092565
1,3,neutral,18401,200,0,0.3046536741094851
1,3,neutral,18601,200,0,0.3565258267217573
1,3,neutral,18801,200,0,0.46102572823421156
1,3,neutral,19001,200,0,0.521826820009987
1,3,neutral,19201,200,0,0.5809511737871494
1,3,neutral,19401,200,0,0.5774395941094042
1,3,neutral,19601,200,0,0.5127304256350551
1,3,neutral,19801,200,0,0.41892804152319785
1,3,neutral,20001,200,0,0.47046829051703026
1,3,neutral,20201,200,0,0.5601459200606835
1,3,neutral,20401,200,0,0.5656676602453155
