pid,trial,condition,time,pupil
3,7,neutral,19201,0.26331463109718106
3,7,neutral,19401,0.2818701303772412
3,7,neutral,19601,0.29158626396309917
3,7,neutral,19801,0.3199070933930408
3,7,neutral,20001,0.3612534724420856
3,7,neutral,20201,0.3871530206532856
3,7,neutral,20401,0.4080204799676424
3,7,neutral,20601,0.44663222514775425
3,7,neutral,21001,0.3269308154450232
3,7,neutral,21201,0.3426605299680011
3,7,neutral,21401,0.35572410546260225
3,7,neutral,21601,0.3265456302257195
3,7,neutral,21801,0.2934279563610399
3,7,neutral,22001,0.2779642380452288
3,7,neutral,22201,0.2683029611448633
3,7,neutral,22401,0.29308606786518265
3,7,neutral,22601,0.29014095324073336
3,7,neutral,22801,0.28377151117893235
3,7,neutral,23001,0.3135664107386161
3,7,neutral,23201,0.3345833825898772
3,7,neutral,23401,0.34238139124955236
3,7,neutral,23601,0.367923202370188
3,7,neutral,24001,0.374763073860982
3,7,neutral,24201,0.39630580383788794
3,7,neutral,24401,0.30345346144042395
3,8,reward,15001,-0.0685127886303726
3,8,reward,15201,-0.0460203190881223
3,8,reward,15601,-0.05039324425760318
3,8,reward,15801,-0.03301466297959246
3,8,reward,16001,-0.06242389943724635
3,8,reward,16201,-0.12609534120307173
3,8,reward,16401,-0.167790521159091
3,8,reward,16601,-0.17753398156733122
3,8,reward,16801,-0.17206880087836512
3,8,reward,17001,-0.13158933595776973
3,8,reward,17201,-0.13496344091622314
3,8,reward,17601,-0.21052235013770107
3,8,reward,17801,-0.2117628658202143
3,8,reward,18001,-0.2844093687596256
3,8,reward,18201,-0.31357706768143084
3,8,reward,18401,-0.3154261847587213
3,8,reward,18601,-0.32371798966640736
3,8,reward,18801,-0.28885121458896773
3,8,reward,19001,-0.19055914141377875
3,8,reward,19201,-0.13784041440311098
3,8,reward,19401,-0.11350151844643425
3,8,reward,19601,-0.11648410084385924
3,8,reward,19801,-0.11381792326773794
3,8,reward,20001,-0.21989898220539045
3,8,reward,20201,-0.264789367796594
3,8,reward,20401,-0.3211820656643762
3,8,reward,20601,-0.33080054833039346
3,8,reward,21201,0.02023418765492241
3,8,reward,21401,0.12678657544135635
3,8,reward,21601,0.17157404826519432
3,8,reward,21801,0.10147473578292986
3,8,reward,22001,0.1051709471595299
3,8,reward,22201,0.1642853900285079
3,8,reward,22401,0.13916544568975098
3,8,reward,22601,0.06066444487057841
3,8,reward,22801,4.935077765650257e-4
3,8,reward,23001,0.03920607684087372
3,8,reward,23201,0.13643905703220546
3,8,reward,23401,0.19485755164891008
3,8,reward,23601,0.21527834925388312
3,8,reward,23801,0.2502223079205521
3,8,reward,24001,0.31488862947782303
3,8,reward,24201,0.39751004897220865
3,8,reward,24401,0.45584979691134025
3,8,reward,24601,0.45292498651032786
3,8,reward,24801,0.4657984152353396
3,9,neutral,15001,0.26618859299269965
3,9,neutral,15201,0.2261294707498669
3,9,neutral,15601,0.2627523603288696
3,9,neutral,15801,0.3155890755301678
3,9,neutral,16001,0.3217642521211377
3,9,neutral,16201,0.3292655122330212
3,9,neutral,16601,0.39232125865682393
3,9,neutral,16801,0.4572358681629049
3,9,neutral,17001,0.38107218328451103
3,9,neutral,17201,0.25623667215490253
3,9,neutral,17401,0.2140170504784164
3,9,neutral,17601,0.21442542961784633
3,9,neutral,18001,0.1415155686262098
3,9,neutral,18201,0.15035288187938445
3,9,neutral,18401,0.21549979650700593
3,9,neutral,18801,0.3799920285638442
3,9,neutral,19001,0.4235054701434473
3,9,neutral,19201,0.35470662846598044
3,9,neutral,19401,0.309838787947782
3,9,neutral,19601,0.3314934744122882
3,9,neutral,19801,0.3849222508981678
3,9,neutral,20001,0.3915179557499999
3,9,neutral,20201,0.4152754264304397
3,9,neutral,20401,0.3681957962589201
3,9,neutral,20601,0.34533006815668327
3,9,neutral,21201,0.46460887649156274
3,9,neutral,21401,0.5727819311124368
3,9,neutral,21601,0.5530621106078284
3,9,neutral,21801,0.4117688658830568
3,9,neutral,22001,0.3427657393006805
3,9,neutral,22201,0.3320670516873806
3,9,neutral,22601,0.48976980541906623
3,9,neutral,22801,0.5331292299449042
3,9,neutral,23001,0.4171701679296412
3,9,neutral,23201,0.27015796372161316
3,9,neutral,23401,0.14433435799143549
3,9,neutral,23601,0.07376932712274693
3,9,neutral,23801,0.04247687378434546
3,9,neutral,24001,0.00192817870769529
3,9,neutral,24201,0.01768981156473384
3,9,neutral,24401,0.07678595520351897
3,9,neutral,24601,0.19709021094742607
3,9,neutral,24801,0.19487635784042903
3,10,reward,15001,-0.04287836899771037
3,10,reward,15201,-0.04581664220286161
3,10,reward,15401,-0.00564415533032857
3,10,reward,15601,0.03116456653235856
3,10,reward,15801,0.04804514353246809
3,10,reward,16001,0.06418979302455988
3,10,reward,16201,0.05868535482211563
3,10,reward,16401,0.0600176958775071
3,10,reward,16601,0.07859317758393153
3,10,reward,16801,0.06708170986240843
3,10,reward,17001,0.01376299612938903
3,10,reward,17201,-0.0015407987899771
3,10,reward,17401,0.00353493815222313
3,10,reward,17601,0.02914078956763877
3,10,reward,17801,0.07792285012621676
3,10,reward,18001,0.12100577644747428
3,10,reward,18201,0.22594704428388976
3,10,reward,18401,0.23286216063127912
3,10,reward,18601,0.21390072998174503
3,10,reward,18801,0.11111915662872504
3,10,reward,19001,0.05440712633287137
3,10,reward,19201,0.04032568875851141
3,10,reward,19401,0.02222988105331405
3,10,reward,19601,0.02579687857868764
3,10,reward,19801,0.04017383530423261
3,10,reward,20001,0.04572939790379556
3,10,reward,20201,0.07337616255523849
3,10,reward,20401,0.07729771859211625
3,10,reward,20601,0.03218926141273994
3,10,reward,20801,-0.03922313317796492
3,10,reward,21001,-0.09464326122406636
3,10,reward,21201,-0.17055120217523984
3,10,reward,21401,-0.13262818109787863
3,10,reward,21601,-0.01229449500343601
3,10,reward,21801,0.05716516694889891
3,10,reward,22201,0.23621693988407969
3,10,reward,22401,0.2721390592744927
3,10,reward,22601,0.2378522667393283
3,10,reward,22801,0.23332756865760776
3,10,reward,23001,0.24196251199607827
3,10,reward,23201,0.27418088508453736
3,10,reward,23401,0.2500721383882802
3,10,reward,23601,0.2761553653578825
3,10,reward,23801,0.3210892511442088
3,10,reward,24001,0.3652104423340607
3,10,reward,24201,0.444234092859046
3,10,reward,24401,0.5392933634427194
3,10,reward,24601,0.6010362634230415
3,10,reward,24801,0.6252865207484147
3,11,neutral,15001,0.00182908137088464
3,11,neutral,15201,0.02449375649491599
3,11,neutral,15401,0.05925658785592493
3,11,neutral,15601,0.07624460350280898
3,11,neutral,15801,0.13291250672530125
3,11,neutral,16001,0.1813473365170921
3,11,neutral,16201,0.22023069204921888
3,11,neutral,16401,0.2309944146030616
3,11,neutral,16601,0.19072434016966525
3,11,neutral,16801,0.09425142582733265
3,11,neutral,17001,0.0424626791315885
3,11,neutral,17201,0.04917430461635176
3,11,neutral,17401,0.07720659627555838
3,11,neutral,17601,0.11075409311351084
3,11,neutral,17801,0.1587904415897047
3,11,neutral,18201,0.17264624172154394
3,11,neutral,18401,0.1716387205439339
3,11,neutral,18601,0.13442099911688535
3,11,neutral,18801,0.05933696314982664
3,11,neutral,19001,0.00571660542266085
3,11,neutral,19201,-0.02770760293274935
3,11,neutral,19401,-0.07089353964209992
3,11,neutral,19601,-0.10991620455510716
3,11,neutral,19801,-0.17127291655035243
3,11,neutral,20001,-0.20418976658346588
3,11,neutral,20201,-0.19668753136506423
3,11,neutral,20401,-0.13311409800910343
3,11,neutral,20601,-0.0802585339861489
3,11,neutral,21001,0.09707443369124068
3,11,neutral,21201,0.1640829080888969
3,11,neutral,21401,0.2030935910399044
3,11,neutral,21601,0.03190459539745878
3,11,neutral,21801,-0.10975309521418548
3,11,neutral,22001,-0.15276376489566384
3,11,neutral,22201,-0.21014483511678855
3,11,neutral,22401,-0.23073641713217605
3,11,neutral,22601,-0.20468738413783136
3,11,neutral,22801,-0.2157188120310617
3,11,neutral,23001,-0.23111815925070675
3,11,neutral,23201,-0.24733909512062127
3,11,neutral,23401,-0.237357287912432
3,11,neutral,23601,-0.19351721892492163
3,11,neutral,24001,-0.07049340101823753
3,11,neutral,24201,-0.02855068655453761
3,11,neutral,24401,-0.02921412255041953
3,11,neutral,24601,-0.08668781817892704
3,11,neutral,24801,-0.11090080709295992
3,12,reward,15001,0.11137910797326332
3,12,reward,15201,0.07938508358969955
3,12,reward,15401,0.06229551150230052
3,12,reward,15601,0.05146821393677001
3,12,reward,15801,0.08198220403278163
3,12,reward,16001,0.14897041466572952
3,12,reward,16201,0.20315227870442665
3,12,reward,16401,0.21257158902305812
3,12,reward,16601,0.2088157645834561
3,12,reward,16801,0.19695559355874115
3,12,reward,17001,0.1799809884233676
3,12,reward,17201,0.19865582099899243
3,12,reward,17401,0.1768262474695636
3,12,reward,17601,0.05182492335317032
3,12,reward,17801,-0.01986618957785634
3,12,reward,18001,-0.05211003336084175
3,12,reward,18201,-0.05015107456624888
3,12,reward,18401,-0.04196168008060997
3,12,reward,18601,-0.04131141711913713
3,12,reward,18801,-0.05940939877229392
3,12,reward,19001,-0.05432520266909515
3,12,reward,19201,-0.04672076203242137
3,12,reward,19401,-0.04084406084134125
3,12,reward,19601,-0.01998614073477458
3,12,reward,19801,0.01539835005879775
3,12,reward,20001,0.02458688039550542
3,12,reward,20201,-0.01101126728789579
3,12,reward,20401,-0.10135105992964502
3,12,reward,20601,-0.12337930936353184
3,12,reward,21001,-0.1658223379369443
3,12,reward,21201,-0.07344071155230435
3,12,reward,21401,-0.00458546013140069
3,12,reward,21601,0.22895311068008564
3,12,reward,21801,0.29770201341260505
3,12,reward,22001,0.2867209288032451
3,12,reward,22201,0.18834386226309568
3,12,reward,22401,0.12789328246359796
3,12,reward,22601,0.07881038444154864
3,12,reward,22801,0.05108249669804178
3,12,reward,23001,0.03443261363123748
3,12,reward,23201,-0.0187350337660712
3,12,reward,23401,-0.02123820764370893
3,12,reward,23601,0.02697722001722757
3,12,reward,23801,0.08052626293873562
3,12,reward,24601,0.25564151031839266
3,12,reward,24801,0.3096525925396108
3,13,reward,15001,-0.2878883259255957
3,13,reward,15201,-0.2704233608637348
3,13,reward,15401,-0.2526190957363514
3,13,reward,15601,-0.22969755858701316
3,13,reward,15801,-0.21159768469205523
3,13,reward,16001,-0.1866698402179159
3,13,reward,16201,-0.15757016570526097
3,13,reward,16601,-0.12106556220938398
3,13,reward,16801,-0.11804705031840984
3,13,reward,17001,-0.16602886718837057
3,13,reward,17201,-0.23913103513170245
3,13,reward,17401,-0.294651132161928
3,13,reward,17601,-0.31070589506373325
3,13,reward,17801,-0.3051930487202445
3,13,reward,18001,-0.2954598058281785
3,13,reward,18201,-0.27872537372514194
3,13,reward,18401,-0.30261499186300456
3,13,reward,18601,-0.3747634292542476
3,13,reward,18801,-0.4057248418561212
3,13,reward,19001,-0.3103136813300177
3,13,reward,19201,-0.272942291470093
3,13,reward,19401,-0.2089782924585587
3,13,reward,19601,-0.24665340615757575
3,13,reward,19801,-0.3173182336473161
3,13,reward,20001,-0.3542962609627865
3,13,reward,20201,-0.3446515205590766
3,13,reward,20401,-0.316088460577423
3,13,reward,20601,-0.29161544096467923
3,13,reward,20801,-0.26256239656129476
3,13,reward,21001,-0.18607663357005488
3,13,reward,21201,-0.04641147670620219
3,13,reward,21401,0.11332980581776925
3,13,reward,21601,0.23389463322140855
3,13,reward,21801,0.30713150693128194
3,13,reward,22001,0.37911027307427553
3,13,reward,22201,0.4378341226703708
3,13,reward,22401,0.4681669287869212
3,13,reward,22601,0.4911938923745863
3,13,reward,22801,0.5297099145843439
3,13,reward,23001,0.5654376328906671
3,13,reward,23201,0.5853954650886144
3,13,reward,23401,0.5987272979857345
3,13,reward,23601,0.5849201597666939
3,13,reward,23801,0.5308119152410968
3,13,reward,24001,0.5041169074358138
3,13,reward,24201,0.5092752273908784
3,13,reward,24401,0.5491391036494138
3,13,reward,24601,0.5823668308155125
3,13,reward,24801,0.5871404037610747
3,14,neutral,15001,-0.185245983936576
3,14,neutral,15201,-0.16757523703474234
3,14,neutral,15401,-0.14095022534515406
3,14,neutral,15601,-0.21168611311640465
3,14,neutral,15801,-0.25474604528777306
3,14,neutral,16001,-0.24617715949553676
3,14,neutral,16201,-0.2186545706555437
3,14,neutral,16401,-0.19481315739323807
3,14,neutral,16601,-0.2105529423622247
3,14,neutral,16801,-0.2293679031109562
3,14,neutral,17001,-0.20955962670032732
3,14,neutral,17401,-0.14888984245753756
3,14,neutral,17601,-0.14746877779338166
3,14,neutral,17801,-0.20616375209881008
3,14,neutral,18001,-0.23985133644104573
3,14,neutral,18201,-0.24996717439719837
3,14,neutral,18401,-0.21579925302039343
3,14,neutral,18601,-0.16238425316150956
3,14,neutral,18801,-0.12598511876490107
3,14,neutral,19001,-0.10693129312866884
3,14,neutral,19201,-0.09354854180994794
3,14,neutral,19401,-0.06892616073662765
3,14,neutral,19601,-0.05233075146331288
3,14,neutral,19801,0.0225337392294346
3,14,neutral,20001,0.0154493638736875
3,14,neutral,20201,-0.04265903666461099
3,14,neutral,20401,-0.13273328865568348
3,14,neutral,21001,-0.1551987502174659
3,14,neutral,21201,-0.09179776674664072
3,14,neutral,21401,-0.01706302948034025
3,14,neutral,21601,-0.15229798783863974
3,14,neutral,21801,-0.24077708737808096
3,14,neutral,22001,-0.28826181610458157
3,14,neutral,22401,-0.2316863315740177
3,14,neutral,22601,-0.17659927561722552
3,14,neutral,22801,-0.187552076178385
3,14,neutral,23001,-0.26679716656025454
3,14,neutral,23201,-0.2698417687027036
3,14,neutral,23401,-0.24304076838433075
3,14,neutral,23601,-0.23980226208531005
3,14,neutral,23801,-0.22433970946025392
3,14,neutral,24001,-0.20123798873726753
3,14,neutral,24401,-0.21753088591487643
3,14,neutral,24601,-0.2159274706674899
3,14,neutral,24801,-0.23676839764473495
3,15,reward,15001,-0.19092020025263465
3,15,reward,15201,-0.16599369047944904
3,15,reward,15401,-0.08577418046477486
3,15,reward,15601,-0.10472343433104418
3,15,reward,15801,-0.08920701609255115
3,15,reward,16001,-0.05514323273637829
3,15,reward,16201,-0.04468876533477999
3,15,reward,16401,-0.05161104399502334
3,15,reward,16601,-0.02172518931890539
3,15,reward,16801,-0.0011714787124028
3,15,reward,17001,-7.492993436421393e-4
3,15,reward,17201,0.02121269569034337
3,15,reward,17401,0.1378006099240991
3,15,reward,17601,0.1656674949820943
3,15,reward,17801,0.18028482932533013
3,15,reward,18001,0.1684544813331779
3,15,reward,18201,0.1953122267309697
3,15,reward,18401,0.267451582835705
3,15,reward,18601,0.28711845840264316
3,15,reward,18801,0.34093586737633785
3,15,reward,19001,0.33283856948470725
3,15,reward,19201,0.32532157129928
3,15,reward,19401,0.3290467266545371
3,15,reward,19801,0.3378764379476174
3,15,reward,20001,0.3594038433963629
3,15,reward,20201,0.3220445488099686
3,15,reward,20401,0.28499358536011427
3,15,reward,20601,0.2820721223555758
3,15,reward,20801,0.22709450000110987
3,15,reward,21001,0.2203715438067028
3,15,reward,21201,0.3168736639779648
3,15,reward,21401,0.42593946236551294
3,15,reward,21601,0.5066535869520792
3,15,reward,21801,0.558718457512094
3,15,reward,22001,0.6190819352210379
3,15,reward,22201,0.6730906093602438
3,15,reward,22401,0.7186920584677222
3,15,reward,22601,0.7491257313735713
3,15,reward,22801,0.7530511723598666
3,15,reward,23001,0.7423998103999018
3,15,reward,23201,0.7380553760958225
3,15,reward,23401,0.6970167527748489
3,15,reward,23601,0.5885784926846616
3,15,reward,23801,0.5160476183863213
3,15,reward,24001,0.45962241389016506
3,15,reward,24201,0.4809980403750664
3,15,reward,24401,0.5089147411106658
3,16,neutral,15001,0.3307144117788498
3,16,neutral,15201,0.25911081077393605
3,16,neutral,15401,0.19839273353728715
3,16,neutral,15601,0.1425602768628909
3,16,neutral,15801,0.14202782211148035
3,16,neutral,16001,0.1775987205675113
3,16,neutral,16201,0.2193605578453428
3,16,neutral,16401,0.2692274523045991
3,16,neutral,16601,0.313480086239404
3,16,neutral,16801,0.3629538231827968
3,16,neutral,17001,0.4038253423413381
3,16,neutral,17201,0.4568259595480478
3,16,neutral,17401,0.5005618977449184
3,16,neutral,17601,0.5340230625136695
3,16,neutral,17801,0.541599501658205
3,16,neutral,18001,0.5038219990896158
3,16,neutral,18201,0.3400244442336912
3,16,neutral,18401,0.2367417820886498
3,16,neutral,18801,0.07703129083414297
3,16,neutral,19001,0.06272300690821521
3,16,neutral,19201,0.0220230468987903
3,16,neutral,19601,-0.01348856254733405
3,16,neutral,19801,-0.01852663674833337
3,16,neutral,20001,-0.0967210848094811
3,16,neutral,20201,-0.18258982802865464
3,16,neutral,20401,-0.20914297292673303
3,16,neutral,20801,-0.1837285475864981
3,16,neutral,21001,-0.1449813351155356
3,16,neutral,21201,-0.08642199436700691
3,16,neutral,21401,-0.08378110025537865
3,16,neutral,21601,-0.06134421171309079
3,16,neutral,21801,-0.05014985500482458
3,16,neutral,22001,-0.04474941316368515
3,16,neutral,22401,-0.08008204336722233
3,16,neutral,22601,-0.05193498457827597
3,16,neutral,22801,-0.06226987511057426
3,16,neutral,23001,-0.03816877434488193
3,16,neutral,23201,-0.02339722131505259
3,16,neutral,23401,0.00363153205296198
3,16,neutral,23601,0.08021956298062634
3,16,neutral,23801,0.1478586141626177
3,16,neutral,24001,0.17139570472498608
3,16,neutral,24201,0.1495062679939961
3,16,neutral,24401,0.12189616575900568
3,16,neutral,24601,0.13492651079200593
3,16,neutral,24801,0.156800251083713
3,17,neutral,15001,0.2616723250560569
3,17,neutral,15201,0.21990402070165907
3,17,neutral,15401,0.2181643848082127
3,17,neutral,15601,0.2264747576931036
3,17,neutral,15801,0.2679484409261725
3,17,neutral,16001,0.3125224945306693
3,17,neutral,16201,0.3319884451298364
3,17,neutral,16401,0.3390576253916127
3,17,neutral,16601,0.328154191281858
3,17,neutral,16801,0.2553912213381795
3,17,neutral,17001,0.19349786031340976
3,17,neutral,17201,0.16931973074304613
3,17,neutral,17401,0.20540160465476645
3,17,neutral,17601,0.24410521732578797
3,17,neutral,17801,0.27671722962164447
3,17,neutral,18001,0.3048679924416907
3,17,neutral,18201,0.3465700742928306
3,17,neutral,18401,0.3739529008439024
3,17,neutral,18601,0.3495893822649434
